Update UTC,Dates,Locaton,New Cases,Cumul. Cases,New Deaths,Cumul. Deaths,Death Rate,% Case Growth daily,% Deaths Growth daily,Week,Month,Country,GeoRegion,Note,CountryPopulation,Density p/km,Cases % population
4/10/2020,4/10/2020,United States,"2,244","468,895",87,"16,697",3.561,0,1,Week 19 Apr 05 - Apr 11,2020 April,United States,North America,,331002651,36,0.142
4/10/2020,4/10/2020,Spain,"3,800","157,022",396,"15,843",10.09,2,3,Week 19 Apr 05 - Apr 11,2020 April,Spain,Europe,,46754778,94,0.336
4/10/2020,4/10/2020,Italy,0,"143,626",0,"18,279",12.727,0,0,Week 19 Apr 05 - Apr 11,2020 April,Italy,Europe,,60461826,206,0.238
4/10/2020,4/10/2020,Germany,0,"118,235",0,"2,607",2.205,0,0,Week 19 Apr 05 - Apr 11,2020 April,Germany,Europe,,83783942,240,0.141
4/10/2020,4/10/2020,France,0,"117,749",0,"12,210",10.37,0,0,Week 19 Apr 05 - Apr 11,2020 April,France,Europe,,65273511,119,0.18
4/10/2020,4/10/2020,China,42,"81,907",1,"3,336",4.073,0,0,Week 19 Apr 05 - Apr 11,2020 April,China,Asia,,1439323776,153,0.006
4/10/2020,4/10/2020,Iran,"1,972","68,192",122,"4,232",6.206,3,3,Week 19 Apr 05 - Apr 11,2020 April,Iran,Middle East,,83992949,52,0.081
4/10/2020,4/10/2020,United Kingdom,0,"65,077",0,"7,978",12.259,0,0,Week 19 Apr 05 - Apr 11,2020 April,United Kingdom,Europe,,67886011,281,0.096
4/10/2020,4/10/2020,Turkey,0,"42,282",0,908,2.147,0,0,Week 19 Apr 05 - Apr 11,2020 April,Turkey,Europe,,84339067,110,0.05
4/10/2020,4/10/2020,Belgium,"1,684","26,667",496,"3,019",11.321,7,20,Week 19 Apr 05 - Apr 11,2020 April,Belgium,Europe,,11589623,383,0.23
4/10/2020,4/10/2020,Switzerland,121,"24,172",10,958,3.963,1,1,Week 19 Apr 05 - Apr 11,2020 April,Switzerland,Europe,,8654622,219,0.279
4/10/2020,4/10/2020,Netherlands,0,"21,762",0,"2,396",11.01,0,0,Week 19 Apr 05 - Apr 11,2020 April,Netherlands,Europe,,17134872,508,0.127
4/10/2020,4/10/2020,Canada,0,"20,765",0,509,2.451,0,0,Week 19 Apr 05 - Apr 11,2020 April,Canada,North America,,37742154,4,0.055
4/10/2020,4/10/2020,Brazil,31,"18,176",3,957,5.265,0,0,Week 19 Apr 05 - Apr 11,2020 April,Brazil,South America,,212559417,25,0.009
4/10/2020,4/10/2020,Portugal,0,"13,956",0,409,2.931,0,0,Week 19 Apr 05 - Apr 11,2020 April,Portugal,Europe,,10196709,111,0.137
4/10/2020,4/10/2020,Austria,187,"13,431",24,319,2.375,1,8,Week 19 Apr 05 - Apr 11,2020 April,Austria,Europe,,9006398,109,0.149
4/10/2020,4/10/2020,Russia,"1,786","11,917",18,94,0.789,18,24,Week 19 Apr 05 - Apr 11,2020 April,Russia,Europe,,145934462,9,0.008
4/10/2020,4/10/2020,South Korea,27,"10,450",4,208,1.99,0,2,Week 19 Apr 05 - Apr 11,2020 April,South Korea,Asia,,51269185,527,0.02
4/10/2020,4/10/2020,Israel,127,"10,095",6,92,0.911,1,7,Week 19 Apr 05 - Apr 11,2020 April,Israel,Middle East,,8655535,400,0.117
4/10/2020,4/10/2020,Sweden,0,"9,141",0,793,8.675,0,0,Week 19 Apr 05 - Apr 11,2020 April,Sweden,Europe,,10099265,25,0.091
4/10/2020,4/10/2020,India,46,"6,771",2,228,3.367,1,1,Week 19 Apr 05 - Apr 11,2020 April,India,Asia,,1380004385,464,0
4/10/2020,4/10/2020,Ireland,0,"6,574",0,263,4.001,0,0,Week 19 Apr 05 - Apr 11,2020 April,Ireland,Europe,,4937786,72,0.133
4/10/2020,4/10/2020,Norway,0,"6,219",0,108,1.737,0,0,Week 19 Apr 05 - Apr 11,2020 April,Norway,Europe,,5421241,15,0.115
4/10/2020,4/10/2020,Australia,51,"6,203",2,53,0.854,1,4,Week 19 Apr 05 - Apr 11,2020 April,Australia,Oceania,,25499884,3,0.024
4/10/2020,4/10/2020,Chile,0,"5,972",0,57,0.954,0,0,Week 19 Apr 05 - Apr 11,2020 April,Chile,South America,,19116201,26,0.031
4/10/2020,4/10/2020,Poland,167,"5,742",1,175,3.048,3,1,Week 19 Apr 05 - Apr 11,2020 April,Poland,Europe,,37846611,124,0.015
4/10/2020,4/10/2020,Denmark,0,"5,635",0,237,4.206,0,0,Week 19 Apr 05 - Apr 11,2020 April,Denmark,Europe,,5792202,137,0.097
4/10/2020,4/10/2020,Czech Republic,20,"5,589",1,113,2.022,0,1,Week 19 Apr 05 - Apr 11,2020 April,Czech Republic,Europe,,10708981,139,0.052
4/10/2020,4/10/2020,Japan,863,"5,530",5,99,1.79,18,5,Week 19 Apr 05 - Apr 11,2020 April,Japan,Asia,,126476461,347,0.004
4/10/2020,4/10/2020,Romania,265,"5,467",17,265,4.847,5,7,Week 19 Apr 05 - Apr 11,2020 April,Romania,Europe,,19237691,84,0.028
4/10/2020,4/10/2020,Peru,0,"5,256",0,138,2.626,0,0,Week 19 Apr 05 - Apr 11,2020 April,Peru,South America,,32971854,26,0.016
4/10/2020,4/10/2020,Ecuador,0,"4,965",0,272,5.478,0,0,Week 19 Apr 05 - Apr 11,2020 April,Ecuador,South America,,17643054,71,0.028
4/10/2020,4/10/2020,Pakistan,112,"4,601",1,66,1.434,2,2,Week 19 Apr 05 - Apr 11,2020 April,Pakistan,Asia,,220892340,287,0.002
4/10/2020,4/10/2020,Malaysia,118,"4,346",3,70,1.611,3,4,Week 19 Apr 05 - Apr 11,2020 April,Malaysia,Asia,,32365999,99,0.013
4/10/2020,4/10/2020,Philippines,119,"4,195",18,221,5.268,3,9,Week 19 Apr 05 - Apr 11,2020 April,Philippines,Asia,,109581078,368,0.004
4/10/2020,4/10/2020,Indonesia,219,"3,512",26,306,8.713,7,9,Week 19 Apr 05 - Apr 11,2020 April,Indonesia,Asia,,273523615,151,0.001
4/10/2020,4/10/2020,Mexico,260,"3,441",20,194,5.638,8,11,Week 19 Apr 05 - Apr 11,2020 April,Mexico,North America,,128932753,66,0.003
4/10/2020,4/10/2020,Saudi Arabia,0,"3,287",0,44,1.339,0,0,Week 19 Apr 05 - Apr 11,2020 April,Saudi Arabia,Asia,,34813871,16,0.009
4/10/2020,4/10/2020,Luxembourg,0,"3,115",0,52,1.669,0,0,Week 19 Apr 05 - Apr 11,2020 April,Luxembourg,Europe,,625978,242,0.498
4/10/2020,4/10/2020,UAE,0,"2,990",0,14,0.468,0,0,Week 19 Apr 05 - Apr 11,2020 April,United Arab Emirates,Middle East,,9890402,118,0.03
4/10/2020,4/10/2020,Serbia,0,"2,867",0,66,2.302,0,0,Week 19 Apr 05 - Apr 11,2020 April,Serbia,Europe,,8737371,100,0.033
4/10/2020,4/10/2020,Finland,164,"2,769",6,48,1.733,6,14,Week 19 Apr 05 - Apr 11,2020 April,Finland,Europe,,5540720,18,0.05
4/10/2020,4/10/2020,Panama,0,"2,752",0,66,2.398,0,0,Week 19 Apr 05 - Apr 11,2020 April,Panama,Central America,,4314767,58,0.064
4/10/2020,4/10/2020,Qatar,136,"2,512",0,6,0.239,6,0,Week 19 Apr 05 - Apr 11,2020 April,Qatar,Middle East,,2881053,248,0.087
4/10/2020,4/10/2020,Thailand,50,"2,473",1,33,1.334,2,3,Week 19 Apr 05 - Apr 11,2020 April,Thailand,Asia,,69799978,137,0.004
4/10/2020,4/10/2020,Dominican Republic,0,"2,349",0,118,5.023,0,0,Week 19 Apr 05 - Apr 11,2020 April,Dominican Republic,Caribbean,,10847910,225,0.022
4/10/2020,4/10/2020,Colombia,0,"2,223",0,69,3.104,0,0,Week 19 Apr 05 - Apr 11,2020 April,Colombia,South America,,50882891,46,0.004
4/10/2020,4/10/2020,Ukraine,311,"2,203",12,69,3.132,16,21,Week 19 Apr 05 - Apr 11,2020 April,Ukraine,Europe,,43733762,75,0.005
4/10/2020,4/10/2020,Belarus,495,"1,981",3,19,0.959,33,19,Week 19 Apr 05 - Apr 11,2020 April,Belarus,Europe,,9449323,47,0.021
4/10/2020,4/10/2020,Greece,0,"1,955",0,87,4.45,0,0,Week 19 Apr 05 - Apr 11,2020 April,Greece,Europe,,10423054,81,0.019
4/10/2020,4/10/2020,South Africa,0,"1,934",0,18,0.931,0,0,Week 19 Apr 05 - Apr 11,2020 April,South Africa,Africa,,59308690,49,0.003
