@relation worldwide-aggregated

@attribute Date {2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10}
@attribute Confirmed numeric
@attribute Recovered numeric
@attribute Deaths numeric
@attribute 'Increase rate' numeric

@data
2020-01-22,555,28,17,?
2020-01-23,654,30,18,17.837838
2020-01-24,941,36,26,43.883792
2020-01-25,1434,39,42,52.391073
2020-01-26,2118,52,56,47.698745
2020-01-27,2927,61,82,38.196412
2020-01-28,5578,107,131,90.57055
2020-01-29,6166,126,133,10.541413
2020-01-30,8234,143,171,33.538761
2020-01-31,9927,222,213,20.561088
2020-02-01,12038,284,259,21.265236
2020-02-02,16787,472,362,39.450075
2020-02-03,19881,623,426,18.430929
2020-02-04,23892,852,492,20.175041
2020-02-05,27635,1124,564,15.666332
2020-02-06,30794,1487,634,11.431156
2020-02-07,34391,2011,719,11.680847
2020-02-08,37120,2616,806,7.935216
2020-02-09,40150,3244,906,8.162716
2020-02-10,42762,3946,1013,6.505604
2020-02-11,44802,4683,1113,4.770591
2020-02-12,45221,5150,1118,0.935226
2020-02-13,60368,6295,1371,33.4955
2020-02-14,66885,8058,1523,10.795455
2020-02-15,69030,9395,1666,3.206997
2020-02-16,71224,10865,1770,3.178328
2020-02-17,73258,12583,1868,2.855779
2020-02-18,75136,14352,2007,2.563543
2020-02-19,75639,16121,2122,0.669453
2020-02-20,76197,18177,2247,0.737715
2020-02-21,76819,18890,2251,0.816305
2020-02-22,78572,22886,2458,2.281988
2020-02-23,78958,23394,2469,0.491269
2020-02-24,79561,25227,2629,0.763697
2020-02-25,80406,27905,2708,1.062078
2020-02-26,81388,30384,2770,1.221302
2020-02-27,82746,33277,2814,1.668551
2020-02-28,84112,36711,2872,1.650835
2020-02-29,86011,39782,2941,2.257704
2020-03-01,88369,42716,2996,2.74151
2020-03-02,90306,45602,3085,2.191945
2020-03-03,92840,48228,3160,2.806015
2020-03-04,95120,51170,3254,2.455838
2020-03-05,97886,53796,3348,2.907906
2020-03-06,101801,55865,3460,3.99955
2020-03-07,105847,58358,3558,3.974421
2020-03-08,109821,60694,3802,3.754476
2020-03-09,113590,62494,3988,3.431948
2020-03-10,118620,64404,4262,4.428207
2020-03-11,125875,67003,4615,6.116169
2020-03-12,128352,68324,4720,1.967825
2020-03-13,145205,70251,5404,13.130298
2020-03-14,156101,72624,5819,7.503874
2020-03-15,167454,76034,6440,7.272855
2020-03-16,181574,78088,7126,8.432166
2020-03-17,197102,80840,7905,8.551885
2020-03-18,214821,83312,8733,8.989762
2020-03-19,242570,84975,9867,12.917266
2020-03-20,272208,87420,11299,12.218329
2020-03-21,304507,91692,12973,11.865559
2020-03-22,336953,97899,14651,10.655256
2020-03-23,378235,98351,16505,12.25156
2020-03-24,418045,108000,18625,10.525203
2020-03-25,467653,113787,21181,11.866665
2020-03-26,529591,122150,23970,13.244436
2020-03-27,593291,130915,27198,12.02815
2020-03-28,660693,139415,30652,11.360698
2020-03-29,720140,149082,33925,8.997674
2020-03-30,782389,164566,37582,8.644014
2020-03-31,857487,178034,42107,9.59855
2020-04-01,932605,193177,46809,8.760249
2020-04-02,1013466,210263,52983,8.670445
2020-04-03,1095917,225796,58787,8.135547
2020-04-04,1197408,246152,64606,9.260829
2020-04-05,1272115,260012,69374,6.23906
2020-04-06,1345101,276515,74565,5.737374
2020-04-07,1426096,300054,81865,6.021481
2020-04-08,1511104,328661,88338,5.960889
2020-04-09,1595350,353975,95455,5.575129
2020-04-10,1691719,376096,102525,6.040618
