ID	Name	Latitude	Longitude	Height	Temperature	Pressure
7350	Nansen_Ice_Sheet	74.8S	163.3E	40m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
7351	Cape_King	73.6S	166.6E	163m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
7352	Priestley_Gl	74.3S	163.2E	650m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
7354	Enigma_Lake	74.7S	164.0E	160m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
7356	Tourmaline_Plateau	74.1S	163.4E	1702m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
8988	Cape_Denison	67.0S	142.7E	31m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
8910	Santa_Claus_Island	65.00S	65.7 W	25m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
8916	D_57	68.1S	137.5E	2105m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
8937	Pegasus_South	78.0S	166.6E	5m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
8939	Sutton	67.1S	141.4E	871m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
21359	Doug	82.3S	113.2 W	1433m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
21363	Erin	84.9S	128.8 W	990m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89108	Henry	89.0S	1.0 W	2754m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89208	Clean_Air	90.0S	0.0 W	2835m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89214	Drescher	72.87S	19.03 W	34m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89257	Limbert	75.4S	59.9 W	40m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89261	Racer_Rock	64.1S	61.6 W	17m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89262	Larsen_Ice_Shelf	66.9S	60.9 W	17m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89264	Uranus_Glacier	71.4S	68.9 W	780m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89266	Butler_Island	72.2S	60.2 W	91m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89269	Bonaparte_Point	64.8S	64.1 W	8m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89284	Siple	75.9S	84.0 W	1054m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89314	Theresa	84.6S	115.8 W	1463m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89324	Byrd	80.0S	119.4 W	1530m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89327	Mount_Siple	73.2S	127.1 W	30m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89329	Harry	83.0S	121.4 W	954m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89332	Elizabeth	82.6S	137.1 W	549m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89371	Scott_Island	67.4S	180.0 W	30m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89376	Gill	80.0S	178.6 W	30m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89377	Lettau	82.5S	174.4 W	55m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89504	Troll	72.0S	2.50E	1284m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89568	LGB35	76.0S	65.0E	2345m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89612	Casey_New_Airstrip	66.3S	110.8E	390m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89643	Port_Martin	66.8S	141.4E	39m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89659	Hi_Priestley_Gl	73.6S	160.7E	1982m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89661	Cape_Philips	73.1S	169.6E	310m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89662	Terra_Nova_Bay	74.7S	164.1E	92m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89665	Scott_Base	77.9S	166.7E	16m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89666	Cape_Ross	76.7S	163.0E	201m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89667	Pegasus_North	77.9S	166.5E	20m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89734	Dome_F	77.3S	39.7E	3810m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89744	Relay_Station	74.0S	43.1E	3353m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89757	LGB20	73.8S	55.7E	2743m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89758	LGB10	71.3S	59.2E	2619m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89762	GEO3	68.7S	61.1E	1835m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
